,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7,pixel_8,pixel_9,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15,pixel_16,pixel_17,pixel_18,pixel_19,pixel_20,pixel_21,pixel_22,pixel_23,pixel_24,pixel_25,pixel_26,pixel_27,pixel_28,pixel_29,pixel_30,pixel_31,pixel_32,pixel_33,pixel_34,pixel_35,pixel_36,pixel_37,pixel_38,pixel_39,pixel_40,pixel_41,pixel_42,pixel_43,pixel_44,pixel_45,pixel_46,pixel_47,pixel_48,pixel_49,pixel_50,pixel_51,pixel_52,pixel_53,pixel_54,pixel_55,pixel_56,pixel_57,pixel_58,pixel_59,pixel_60,pixel_61,pixel_62,pixel_63,pixel_64,pixel_65,pixel_66,pixel_67,pixel_68,pixel_69,pixel_70,pixel_71,pixel_72,pixel_73,pixel_74,pixel_75,pixel_76,pixel_77,pixel_78,pixel_79,pixel_80,pixel_81,pixel_82,pixel_83,pixel_84,pixel_85,pixel_86,pixel_87,pixel_88,pixel_89,pixel_90,pixel_91,pixel_92,pixel_93,pixel_94,pixel_95,pixel_96,pixel_97,pixel_98,pixel_99,energy (MeV),radius (mm)
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.011904761904761904,0.0547945205479452,0.0,1.0,0.0,0.0,0.0,0.08695652173913043,0.05405405405405406,0.0,0.011904761904761904,0.0410958904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.05952380952380952,0.0547945205479452,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.078125,0.09523809523809523,0.1232876712328767,0.0,0.0,0.3333333333333333,0.0,0.0,0.21739130434782608,0.08108108108108109,0.140625,0.05952380952380952,0.0821917808219178,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.17391304347826086,0.21621621621621623,0.15625,0.2261904761904762,0.1643835616438356,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.34782608695652173,0.21621621621621623,0.265625,0.25,0.1780821917808219,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.17391304347826086,0.3783783783783784,0.28125,0.23809523809523808,0.2602739726027397,7.309974670410156,4941.85205078125
136,0.0,0.0,0.0,0.0,0.0,0.125,0.08823529411764706,0.058823529411764705,0.11428571428571428,0.05555555555555555,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.058823529411764705,0.11764705882352941,0.1,0.18055555555555555,0.0,0.0,0.0,0.0,0.16666666666666666,0.1875,0.14705882352941177,0.08823529411764706,0.17142857142857143,0.1388888888888889,0.0,0.0,0.0,0.5,0.0,0.0625,0.11764705882352941,0.17647058823529413,0.11428571428571428,0.09722222222222222,0.0,0.0,1.0,0.0,0.0,0.0625,0.058823529411764705,0.16176470588235295,0.1,0.05555555555555555,0.0,0.0,0.0,0.5,0.16666666666666666,0.125,0.08823529411764706,0.10294117647058823,0.08571428571428572,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.1875,0.029411764705882353,0.07352941176470588,0.08571428571428572,0.06944444444444445,0.0,0.0,0.0,0.0,0.3333333333333333,0.1875,0.20588235294117646,0.07352941176470588,0.15714285714285714,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0625,0.11764705882352941,0.07352941176470588,0.05714285714285714,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.07352941176470588,0.014285714285714285,0.06944444444444445,8.352666854858398,2867.1943359375
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.030303030303030304,0.0,0.07692307692307693,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.05128205128205128,0.07692307692307693,0.023255813953488372,0.0,0.0,0.0,0.0,0.16666666666666666,0.11764705882352941,0.09090909090909091,0.05128205128205128,0.07692307692307693,0.16279069767441862,0.0,0.0,1.0,0.3333333333333333,0.0,0.11764705882352941,0.15151515151515152,0.1794871794871795,0.07692307692307693,0.13953488372093023,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.17647058823529413,0.12121212121212122,0.1794871794871795,0.1794871794871795,0.11627906976744186,0.0,0.0,0.0,0.0,0.0,0.29411764705882354,0.3333333333333333,0.1794871794871795,0.15384615384615385,0.23255813953488372,0.0,1.0,0.0,0.0,0.0,0.11764705882352941,0.18181818181818182,0.23076923076923078,0.10256410256410256,0.11627906976744186,0.0,0.0,0.0,0.0,0.16666666666666666,0.11764705882352941,0.030303030303030304,0.02564102564102564,0.23076923076923078,0.11627906976744186,3.7754311561584473,4561.2177734375
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.04081632653061224,0.05172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.03571428571428571,0.02040816326530612,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.05555555555555555,0.0,0.08163265306122448,0.06896551724137931,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.03571428571428571,0.08163265306122448,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.05555555555555555,0.03571428571428571,0.10204081632653061,0.017241379310344827,0.0,0.0,0.0,0.0,0.5,0.08333333333333333,0.16666666666666666,0.03571428571428571,0.08163265306122448,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.12244897959183673,0.05172413793103448,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.2222222222222222,0.14285714285714285,0.08163265306122448,0.15517241379310345,0.0,0.0,0.0,0.0,0.0,0.25,0.2777777777777778,0.07142857142857142,0.24489795918367346,0.15517241379310345,0.0,0.0,0.0,0.5,0.0,0.16666666666666666,0.16666666666666666,0.42857142857142855,0.14285714285714285,0.1896551724137931,5.097794055938721,2737.427978515625
139,0.0,0.0,1.0,1.0,0.0,0.4,0.19230769230769232,0.2,0.14035087719298245,0.14102564102564102,0.0,0.0,0.0,0.0,0.3333333333333333,0.3,0.15384615384615385,0.1111111111111111,0.10526315789473684,0.15384615384615385,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.23076923076923078,0.13333333333333333,0.12280701754385964,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.1,0.11538461538461539,0.2222222222222222,0.24561403508771928,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.1,0.15384615384615385,0.1111111111111111,0.17543859649122806,0.10256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.1111111111111111,0.05263157894736842,0.0641025641025641,0.0,0.0,0.0,0.0,0.3333333333333333,0.1,0.038461538461538464,0.044444444444444446,0.03508771929824561,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.022222222222222223,0.05263157894736842,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.017543859649122806,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.05263157894736842,0.0,6.247969627380371,2319.01708984375
140,1.0,1.0,0.5,1.0,0.8181818181818182,0.5806451612903226,0.4883720930232558,0.45588235294117646,0.4025974025974026,0.35526315789473684,0.0,0.0,0.0,0.0,0.09090909090909091,0.25806451612903225,0.18604651162790697,0.27941176470588236,0.19480519480519481,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.16279069767441862,0.08823529411764706,0.18181818181818182,0.07894736842105263,0.0,0.0,0.0,0.0,0.09090909090909091,0.06451612903225806,0.06976744186046512,0.07352941176470588,0.07792207792207792,0.14473684210526316,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.09302325581395349,0.04411764705882353,0.03896103896103896,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.029411764705882353,0.06493506493506493,0.06578947368421052,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.014705882352941176,0.03896103896103896,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039473684210526314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.249307632446289,4715.45654296875
141,0.6666666666666666,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.25,0.125,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.75,0.875,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.689631462097168,5166.51318359375
142,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02666666666666667,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02666666666666667,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.047619047619047616,0.02,0.04,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.023809523809523808,0.04,0.06666666666666667,0.08333333333333333,0.0,0.0,0.0,0.25,0.0,0.03571428571428571,0.09523809523809523,0.08,0.16,0.09523809523809523,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.1,0.13333333333333333,0.13095238095238096,0.0,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.12,0.13333333333333333,0.15476190476190477,0.0,0.0,0.0,0.5,0.7142857142857143,0.35714285714285715,0.2857142857142857,0.24,0.22666666666666666,0.19047619047619047,0.0,0.0,0.0,0.25,0.0,0.25,0.30952380952380953,0.28,0.18666666666666668,0.2261904761904762,5.9541473388671875,4428.81396484375
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.027777777777777776,0.02857142857142857,0.09375,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142,0.027777777777777776,0.08571428571428572,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.03125,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.05555555555555555,0.0,0.0625,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.0,0.10714285714285714,0.19444444444444445,0.08571428571428572,0.09375,0.0,0.0,0.0,0.3333333333333333,0.21428571428571427,0.5,0.39285714285714285,0.19444444444444445,0.11428571428571428,0.15625,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.25,0.25,0.25,0.34285714285714286,0.25,0.0,0.0,0.0,0.0,0.21428571428571427,0.125,0.17857142857142858,0.2222222222222222,0.2857142857142857,0.21875,4.0832133293151855,3964.174072265625
144,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.16666666666666666,0.1111111111111111,0.25,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0.0,0.0,0.6666666666666666,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.2222222222222222,0.25,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.0,0.0,0.14285714285714285,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.25,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.1111111111111111,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.16666666666666666,0.1111111111111111,0.0,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.0,0.14285714285714285,0.0,0.2222222222222222,0.0,0.2857142857142857,0.0,7.2796454429626465,1055.08447265625
