AUC,accuracy,loss,val_AUC,val_accuracy,val_loss
0.808347225189209,0.7463102340698242,0.5308582186698914,0.6236900687217712,0.5627834796905518,0.7641071677207947
0.947433352470398,0.8713266849517822,0.2906484603881836,0.9331654906272888,0.819490373134613,0.32457223534584045
0.9795547723770142,0.9210236072540283,0.18163825571537018,0.9357139468193054,0.8135136961936951,0.32783201336860657
0.9877619743347168,0.9392995834350586,0.1403486728668213,0.8946499228477478,0.7584941387176514,0.4694404900074005
0.9908666014671326,0.9482769966125488,0.12126530706882477,0.9762821197509766,0.8921900391578674,0.20476260781288147
0.9929413199424744,0.9552200436592102,0.10607307404279709,0.9721180200576782,0.8819471001625061,0.22864891588687897
0.9936231374740601,0.9578638672828674,0.1005203127861023,0.981734573841095,0.9044123291969299,0.18637236952781677
0.9949818253517151,0.9628879427909851,0.08897797018289566,0.9839439988136292,0.9093127846717834,0.17310382425785065
0.9957000017166138,0.9653587937355042,0.08226824551820755,0.9812420010566711,0.9047390222549438,0.18976953625679016
0.9960365891456604,0.9670307040214539,0.07867347449064255,0.9895378947257996,0.9336420893669128,0.13753794133663177
0.9969398975372314,0.9713711738586426,0.06924177706241608,0.9833371639251709,0.9143093228340149,0.18596601486206055
0.996864378452301,0.9718488454818726,0.06943010538816452,0.979544460773468,0.9062764048576355,0.2113807201385498
0.9975287318229675,0.974690318107605,0.061366353183984756,0.989899754524231,0.9352371692657471,0.14242807030677795
0.9975379109382629,0.9754315614700317,0.06014703959226608,0.9899813532829285,0.9349296689033508,0.13225531578063965
0.9978967308998108,0.9775976538658142,0.05527137592434883,0.9881609678268433,0.9314513206481934,0.1472381204366684
0.9981600642204285,0.9790966510772705,0.05205446109175682,0.9846392869949341,0.9207087159156799,0.18367744982242584
0.998306155204773,0.980538010597229,0.048880890011787415,0.9874275326728821,0.9401568174362183,0.15328414738178253
0.9985502362251282,0.9819875359535217,0.04497266560792923,0.9897755980491638,0.9428472518920898,0.13682030141353607
0.998644232749939,0.9824487566947937,0.043691594153642654,0.9781739115715027,0.9168267846107483,0.24339762330055237
0.9984981417655945,0.9824817180633545,0.04477997496724129,0.9960383772850037,0.9682335257530212,0.07860849052667618
0.9987755417823792,0.9846066236495972,0.04002872854471207,0.9924312233924866,0.9541663527488708,0.11497923731803894
0.9988925457000732,0.9850102066993713,0.03814471513032913,0.9919683933258057,0.954800546169281,0.12123129516839981
0.9990137219429016,0.9863032698631287,0.03562011569738388,0.9944071173667908,0.9617764353752136,0.09413787722587585
0.9990445971488953,0.986863374710083,0.03450015187263489,0.9959495663642883,0.9654854536056519,0.08514070510864258
0.9991661906242371,0.987794041633606,0.032140783965587616,0.9927363991737366,0.9554346799850464,0.11789489537477493
0.9991066455841064,0.9875469207763672,0.03284785524010658,0.9946126937866211,0.9581059217453003,0.09968537092208862
