301383, 9713148
301418, 4701052
301475, 7381310
301480, 14812837
301494, 11969453
301579, 8412371
301649, 15840821
301653, 1814583
301721, 10788189
301783, 6179714
301973, 3866014
302003, 9608914
302005, 6336779
302357, 10166601
302381, 7009906
302405, 696820
302410, 13317034
302419, 12245577
302596, 3276452
302760, 14192452
303039, 2179051
303109, 15516618
303443, 3997381
303651, 14752386
303666, 4266795
303858, 13313306
303878, 7685192
303883, 12386974
304091, 8104923
304095, 13341253
304120, 14539193
304159, 8185920
304171, 10593138
304191, 6713506
304199, 14544919
304205, 7876697
304256, 10763089
304297, 6831532
304436, 15070109
304444, 2675623
304449, 1282478
304526, 4388928
304534, 11442841
304544, 4865526
304551, 1888386
304670, 13156900
304709, 8780346
304713, 1260362
304846, 694105
304896, 7127346
304913, 15469421
305059, 12521342
305087, 6001448
305366, 10135687
305386, 9269155
305397, 10787689
305425, 3485537
305495, 5280157
305541, 10600253
305581, 14498351
305589, 12784152
305600, 2861555
305708, 11870059
305947, 5951923
305953, 9923996
305998, 16321153
306114, 6419699
306126, 9827939
306224, 3236002
306362, 4265517
306424, 14682834
306425, 2323435
306427, 4716794
306522, 3123299
306536, 12777082
306548, 16471761
306670, 9681620
306778, 15129993
306866, 6340919
306967, 6566487
306975, 7831559
306984, 10534592
307005, 8238227
307055, 14771437
307068, 5994402
307115, 14467890
307153, 7635228
307195, 6141924
307197, 3014642
307294, 4966945
307409, 8497958
307458, 7339543
307464, 2272960
307464, 3448727
307497, 7260918
307550, 13743124
307625, 10315578
307626, 1172701
307632, 5177432
307650, 8874953
307716, 12941370
307726, 10813404
307761, 14937959
307845, 11046252
307848, 13547525
307926, 6557197
307932, 7172929
307966, 11506372
307976, 11227425
308010, 14051398
308017, 4154358
308024, 9825829
308027, 1982824
308032, 13294729
308091, 16260314
308132, 6389572
308135, 1107947
308160, 5229076
308243, 9398359
308312, 13208864
308452, 8197010
308495, 2132882
308519, 15142012
301103, 5749627
301131, 11028210
301144, 16447192
308722, 3352760
308802, 7304984
308825, 7395258
308852, 3643534
308896, 15136049
308900, 5617637
308937, 14629520
308941, 9857426
308944, 12953936
309024, 6736190
309042, 2583210
309045, 9827073
309157, 6452321
309187, 15382014
309212, 11826415
309227, 11841970
309233, 12546246
309239, 14070478
309241, 4978299
309268, 559416
309671, 9164895
309695, 3114262
309699, 6380663
309727, 2428359
309740, 4794357
309864, 11196722
309884, 5556329
309906, 10638888
309914, 12067016
309918, 1011809
301232, 13496934
309971, 11323515
310016, 15323484
310042, 11201163
310117, 627601
310163, 12529921
310194, 15607646
310272, 5060947
310328, 10668368
310343, 6562770
310428, 16599519
310441, 2080925
310455, 8611655
310485, 13586646
310523, 9415835
310628, 4808618
301365, 1663140
